time_yr,keff,keff_sigma,rho_pcm,burnup_totU_pct_corrected,burnup_u235_pct_corrected
0,1.000919,0.000737,91.8,0.0000,0.0000
0.0013689,0.999405,0.000865,-59.6,0.0013,0.0018
0.0041068,0.998768,0.000774,-123.3,0.0039,0.0053
0.0095825,0.997588,0.000739,-241.8,0.0092,0.0124
0.020534,0.998503,0.000762,-149.9,0.0197,0.0265
0.042437,0.998663,0.000749,-133.9,0.0407,0.0548
0.083504,0.996950,0.000691,-305.9,0.0800,0.1078
0.16564,0.996749,0.000715,-326.2,0.1588,0.2137
0.32991,0.993663,0.000721,-637.8,0.3161,0.4255
0.57632,0.992270,0.000774,-779.1,0.5521,0.7430
1,0.988559,0.000712,-1157.3,0.9574,1.2883
1.5,0.984948,0.000716,-1528.2,1.4357,1.9313
2,0.983305,0.000817,-1697.8,1.9141,2.5740
2.5,0.983096,0.000699,-1719.5,2.3926,3.2163
3,0.978426,0.000734,-2205.0,2.8712,3.8582
3.5,0.975769,0.000804,-2483.3,3.3500,4.4998
4,0.973246,0.000737,-2749.0,3.8289,5.1412
4.5,0.971848,0.000694,-2896.7,4.3078,5.7822
5,0.971394,0.000660,-2944.9,4.7869,6.4228
5.5,0.968963,0.000711,-3203.1,5.2661,7.0629
6,0.966433,0.000729,-3473.3,5.7454,7.7028
6.5,0.964742,0.000767,-3654.7,6.2249,8.3423
7,0.963087,0.000762,-3832.8,6.7043,8.9814
